File,Image,E2g,A1g,E2g Intensity,A1g Intensity,Peak Difference,Intensity Difference,Layers
ML Training Data/Raman/Sample 1/MoS2_1_loc1.txt,ML Training Data/Raman/Sample 1/MoS2_1_loc1.jpg,379.1080911772132,1114.5334666119331,4.874366430191917,333.4648322171456,735.42537543472,328.5904657869537,5
ML Training Data/Raman/Sample 1/MoS2_1_loc2.txt,ML Training Data/Raman/Sample 1/MoS2_1_loc2.jpg,380.3249598971147,404.7836978459014,210.67928874780813,153.92255811704587,24.45873794878662,56.75673063076226,4
ML Training Data/Raman/Sample 1/MoS2_1_loc3.txt,ML Training Data/Raman/Sample 1/MoS2_1_loc3.jpg,381.3329682066255,403.0931271492083,144.0668081168608,110.94263788763962,21.760158942582848,33.12417022922119,2
ML Training Data/Raman/Sample 1/MoS2_1_loc4.txt,ML Training Data/Raman/Sample 1/MoS2_1_loc4.jpg,380.0548849233664,404.6818291067282,350.5859226968472,270.9530143503888,24.62694418336173,79.63290834645841,4
ML Training Data/Raman/Sample 1/MoS2_1_loc5.txt,ML Training Data/Raman/Sample 1/MoS2_1_loc5.jpg,381.0098868073249,404.3421901630738,216.84204419554067,189.50084403674865,23.332303355748937,27.34120015879202,3
ML Training Data/Raman/Sample 1/MoS2_1_loc6.txt,ML Training Data/Raman/Sample 1/MoS2_1_loc6.jpg,379.4923714637537,405.54370081591185,361.9613368055016,289.45529284619727,26.05132935215812,72.50604395930435,5
ML Training Data/Raman/Sample 1/MoS2_2_loc1.txt,ML Training Data/Raman/Sample 1/MoS2_2_loc1.jpg,379.93910461743894,405.1739178827322,402.0910956340584,335.3506250372604,25.23481326529333,66.74047059679799,5
ML Training Data/Raman/Sample 1/MoS2_2_loc2.txt,ML Training Data/Raman/Sample 1/MoS2_2_loc2.jpg,379.98024997253583,404.9366303455004,368.2773854115801,316.03850758750036,24.95638037296459,52.23887782407974,4
ML Training Data/Raman/Sample 1/MoS2_2_loc3.txt,ML Training Data/Raman/Sample 1/MoS2_2_loc3.jpg,,,,,,,5
ML Training Data/Raman/Sample 1/MoS2_3_loc2.txt,ML Training Data/Raman/Sample 1/MoS2_3_loc2.jpg,381.3512000001032,402.8256519138485,141.462196605411,107.4438295082822,21.474451913745213,34.0183670971288,2
ML Training Data/Raman/Sample 1/MoS2_3_loc3.txt,ML Training Data/Raman/Sample 1/MoS2_3_loc3.jpg,381.4059349997961,402.8895548989311,141.36820112920608,140.9753438028196,21.48361989913502,0.3928573263864905,2
ML Training Data/Raman/Sample 1/MoS2_3_loc4.txt,ML Training Data/Raman/Sample 1/MoS2_3_loc4.jpg,380.193333931347,404.3654033952697,289.61040723197885,243.2593096000646,24.172069463922696,46.35109763191426,4
ML Training Data/Raman/Sample 1/MoS2_3_loc5.txt,ML Training Data/Raman/Sample 1/MoS2_3_loc5.jpg,380.6816722529245,405.04912449916486,256.4224204078812,192.66114069519776,24.36745224624042,63.76127971268343,4
ML Training Data/Raman/Sample 1/MoS2_4_loc1.txt,ML Training Data/Raman/Sample 1/MoS2_4_loc1.jpg,382.683515403028,403.68773713208407,33.185064597357304,36.61836865008368,21.0042217290561,3.4333040527263776,2
ML Training Data/Raman/Sample 1/MoS2_4_loc2.txt,ML Training Data/Raman/Sample 1/MoS2_4_loc2.jpg,381.0581637260645,402.7778047242601,70.59640772108473,49.48499900914692,21.719640998195587,21.111408711937813,2
ML Training Data/Raman/Sample 1/MoS2_4_loc3.txt,ML Training Data/Raman/Sample 1/MoS2_4_loc3.jpg,379.8934032488221,404.02691908190457,275.62503270231684,214.5821107908577,24.13351583308247,61.04292191145913,4
ML Training Data/Raman/Sample 1/MoS2_4_loc4.txt,ML Training Data/Raman/Sample 1/MoS2_4_loc4.jpg,379.0742353637778,404.5817772860683,308.483819911125,250.3183712227726,25.5075419222905,58.1654486883524,5
ML Training Data/Raman/Sample 1/MoS2_4_loc5.txt,ML Training Data/Raman/Sample 1/MoS2_4_loc5.jpg,381.48081306557384,403.1336632034044,82.74716636350131,92.28147277713953,21.65285013783057,9.53430641363822,2
ML Training Data/Raman/Sample 11/FeMoS2_1_loc1.txt,ML Training Data/Raman/Sample 11/FeMoS2_1_loc1.jpg,403.2815793496074,517.4012009285301,108.65312729240964,91.39831355555022,114.1196215789227,17.25481373685942,5
ML Training Data/Raman/Sample 11/FeMoS2_1_loc2.txt,ML Training Data/Raman/Sample 11/FeMoS2_1_loc2.jpg,402.3244130733033,517.70374960911,71.37341447841487,48.64351923892946,115.37933653580671,22.729895239485415,5
ML Training Data/Raman/Sample 11/FeMoS2_2_loc1.txt,ML Training Data/Raman/Sample 11/FeMoS2_2_loc1.jpg,399.9407758477589,517.2318936069868,97.54338382530425,25.692778694404357,117.29111775922786,71.85060513089988,5
ML Training Data/Raman/Sample 11/FeMoS2_2_loc2.txt,ML Training Data/Raman/Sample 11/FeMoS2_2_loc2.jpg,401.6188637386642,517.0785731135101,71.93096788313423,31.106966098860376,115.45970937484589,40.824001784273854,5
ML Training Data/Raman/Sample 12/FeMoS2_1_loc1.txt,ML Training Data/Raman/Sample 12/FeMoS2_1_loc1.jpg,401.06121170081906,517.1814397630492,78.7983072905321,45.01703225942583,116.12022806223013,33.78127503110626,5
ML Training Data/Raman/Sample 12/FeMoS2_1_loc2.txt,ML Training Data/Raman/Sample 12/FeMoS2_1_loc2.jpg,401.24203744121974,517.5899665952213,76.22124285885164,54.17357978241172,116.34792915400158,22.04766307643992,5
ML Training Data/Raman/Sample 13/FeMoS2_1_loc1.txt,ML Training Data/Raman/Sample 13/FeMoS2_1_loc1.jpg,400.23838934132704,519.7999349356403,265.48376966752886,64.1916865136644,119.56154559431326,201.29208315386447,5
ML Training Data/Raman/Sample 13/FeMoS2_1_loc2.txt,ML Training Data/Raman/Sample 13/FeMoS2_1_loc2.jpg,401.95019331987953,520.5133290937581,321.9090369650425,122.3021689606442,118.56313577387856,199.6068680043983,5
ML Training Data/Raman/Sample 14/FeMoS2_1_loc1.txt,ML Training Data/Raman/Sample 14/FeMoS2_1_loc1.jpg,378.1996073469521,404.20152251224056,599.6949874212253,545.5297284034943,26.001915165288437,54.16525901773093,5
ML Training Data/Raman/Sample 14/FeMoS2_1_loc2.txt,ML Training Data/Raman/Sample 14/FeMoS2_1_loc2.jpg,404.6061888189185,520.7477920947528,306.15836365881665,277.9468947589165,116.14160327583426,28.21146889990013,5
ML Training Data/Raman/Sample 14/FeMoS2_1_loc3.txt,ML Training Data/Raman/Sample 14/FeMoS2_1_loc3.jpg,378.4099190371996,405.1391504114664,354.62603375238984,328.32405877278825,26.729231374266817,26.301974979601596,5
ML Training Data/Raman/Sample 17/MoS2_1_loc1.txt,ML Training Data/Raman/Sample 17/MoS2_1_loc1.jpg,382.91240441333406,521.0192624911535,338.34154973135014,283.045761906437,138.10685807781948,55.295787824913134,5
ML Training Data/Raman/Sample 17/MoS2_1_loc2.txt,ML Training Data/Raman/Sample 17/MoS2_1_loc2.jpg,380.32297372898,406.0815291819705,565.2098468985021,384.26637802909954,25.758555452990493,180.94346886940252,5
ML Training Data/Raman/Sample 17/MoS2_1_loc3.txt,ML Training Data/Raman/Sample 17/MoS2_1_loc3.jpg,380.23059460710135,405.56764057816554,485.3481188684144,432.5855147600666,25.337045971064185,52.76260410834783,5
ML Training Data/Raman/Sample 17/MoS2_1_loc4.txt,ML Training Data/Raman/Sample 17/MoS2_1_loc4.jpg,381.08056263116686,406.2896441689851,423.2000823775942,403.3432684904463,25.209081537818292,19.856813887147837,5
ML Training Data/Raman/Sample 17/MoS2_1_loc5.txt,ML Training Data/Raman/Sample 17/MoS2_1_loc5.jpg,380.5988986724738,405.83175814205595,569.3250278270475,469.34088574948504,25.232859469582134,99.98414207756248,5
ML Training Data/Raman/Sample 17/MoS2_1_loc6.txt,ML Training Data/Raman/Sample 17/MoS2_1_loc6.jpg,382.83238145016526,408.04507100757166,63.53594054411239,56.354286090033945,25.212689557406406,7.181654454078448,5
ML Training Data/Raman/Sample 17/MoS2_1_loc7.txt,ML Training Data/Raman/Sample 17/MoS2_1_loc7.jpg,380.7500971593013,406.3659449790611,372.3784949540396,382.7616812235067,25.615847819759836,10.383186269467105,5
ML Training Data/Raman/Sample 17/MoS2_2_loc1.txt,ML Training Data/Raman/Sample 17/MoS2_2_loc1.jpg,381.6989192747823,405.58045854247973,286.9224570145711,270.1078599026962,23.88153926769741,16.81459711187489,3
ML Training Data/Raman/Sample 17/MoS2_2_loc2.txt,ML Training Data/Raman/Sample 17/MoS2_2_loc2.jpg,381.4383208974797,405.7420889166709,216.9832867302292,208.1021858177582,24.30376801919124,8.881100912470998,4
ML Training Data/Raman/Sample 17/MoS2_2_loc3.txt,ML Training Data/Raman/Sample 17/MoS2_2_loc3.jpg,382.9062197705998,405.67232308886895,169.16932514158125,144.55481374713122,22.76610331826913,24.614511394450005,2
ML Training Data/Raman/Sample 17/MoS2_2_loc4.txt,ML Training Data/Raman/Sample 17/MoS2_2_loc4.jpg,381.2425834372334,404.5754241406228,119.5435481441072,93.86350529802544,23.332840703389365,25.680042846081776,3
ML Training Data/Raman/Sample 17/MoS2_2_loc5.txt,ML Training Data/Raman/Sample 17/MoS2_2_loc5.jpg,380.8357926777678,405.59618396656134,230.67550444467747,197.4770730302831,24.76039128879347,33.198431414394406,4
ML Training Data/Raman/Sample 17/MoS2_2_loc6.txt,ML Training Data/Raman/Sample 17/MoS2_2_loc6.jpg,381.6782107542321,407.1242133360392,63.45339394908935,36.93169662002752,25.44600258180708,26.521697329061837,5
ML Training Data/Raman/Sample 17/MoS2_3_loc1.txt,ML Training Data/Raman/Sample 17/MoS2_3_loc1.jpg,401.52479553716626,519.3606329366673,132.35724066698424,41.34153345099978,117.83583739950107,91.01570721598446,5
ML Training Data/Raman/Sample 17/MoS2_3_loc2.txt,ML Training Data/Raman/Sample 17/MoS2_3_loc2.jpg,382.4852021893819,519.4661718484779,103.14576576131545,93.92345534623507,136.980969659096,9.222310415080372,5
ML Training Data/Raman/Sample 17/MoS2_3_loc3.txt,ML Training Data/Raman/Sample 17/MoS2_3_loc3.jpg,381.1483105086813,405.9445086022914,315.2931501170926,273.2837507215155,24.796198093610144,42.00939939557708,4
ML Training Data/Raman/Sample 17/MoS2_3_loc4.txt,ML Training Data/Raman/Sample 17/MoS2_3_loc4.jpg,402.66403637399486,520.0871216363167,147.13182589738685,68.58570261533637,117.42308526232188,78.54612328205047,5
ML Training Data/Raman/Sample 17/MoS2_3_loc5.txt,ML Training Data/Raman/Sample 17/MoS2_3_loc5.jpg,380.503594522474,405.5587781300745,282.03552487544005,245.80740660848204,25.055183607600497,36.228118266958006,5
ML Training Data/Raman/Sample 2/MoS2_1_loc1.txt,ML Training Data/Raman/Sample 2/MoS2_1_loc1.jpg,378.2413267215817,404.6435659264,456.9080116814747,330.25724308503055,26.402239204818272,126.6507685964442,5
ML Training Data/Raman/Sample 2/MoS2_1_loc2.txt,ML Training Data/Raman/Sample 2/MoS2_1_loc2.jpg,380.75459813599,402.7226647475467,143.8734788738764,102.69535483509964,21.96806661155665,41.17812403877676,2
ML Training Data/Raman/Sample 2/MoS2_1_loc3.txt,ML Training Data/Raman/Sample 2/MoS2_1_loc3.jpg,380.5962348494888,407.44254838757706,74.70591906612601,48.802802370923125,26.84631353808828,25.90311669520289,5
ML Training Data/Raman/Sample 21/FeMoS2_1_loc1.txt,ML Training Data/Raman/Sample 21/FeMoS2_1_loc1.jpg,399.7354991602645,516.2910433925717,129.707953347661,60.54666733897498,116.55554423230724,69.16128600868603,5
ML Training Data/Raman/Sample 21/FeMoS2_1_loc2.txt,ML Training Data/Raman/Sample 21/FeMoS2_1_loc2.jpg,399.9230322911833,517.2776380739102,222.12210368458187,139.48279987535648,117.35460578272694,82.6393038092254,5
ML Training Data/Raman/Sample 21/FeMoS2_1_loc3.txt,ML Training Data/Raman/Sample 21/FeMoS2_1_loc3.jpg,400.6150742111559,517.8202373160527,205.52396908416273,113.2532705268382,117.20516310489684,92.27069855732454,5
ML Training Data/Raman/Sample 21/FeMoS2_3_loc1.txt,ML Training Data/Raman/Sample 21/FeMoS2_3_loc1.jpg,400.64938886912296,517.4012713855727,205.5931122095915,125.1381575774931,116.75188251644975,80.45495463209843,5
ML Training Data/Raman/Sample 22/FeMoS2_1_loc1.txt,ML Training Data/Raman/Sample 22/FeMoS2_1_loc1.jpg,383.6399962946811,521.5094346853672,96.21368988775444,56.04303007105069,137.86943839068607,40.170659816703754,5
ML Training Data/Raman/Sample 22/FeMoS2_2_loc1.txt,ML Training Data/Raman/Sample 22/FeMoS2_2_loc1.jpg,391.8292257811662,522.0568897473237,88.5370348238967,21.693616623621832,130.22766396615748,66.84341820027487,5
ML Training Data/Raman/Sample 23/MoS2_10_loc1.txt,ML Training Data/Raman/Sample 23/MoS2_10_loc1.jpg,398.8331941681951,601.592427360764,21.42479782427431,770.8951017763239,202.75923319256884,749.4703039520497,5
ML Training Data/Raman/Sample 23/MoS2_10_loc2.txt,ML Training Data/Raman/Sample 23/MoS2_10_loc2.jpg,397.67986112200896,758.3060243052981,11.726934061841964,511.0875187203049,360.6261631832892,499.3605846584629,5
ML Training Data/Raman/Sample 23/MoS2_10_loc3.txt,ML Training Data/Raman/Sample 23/MoS2_10_loc3.jpg,346.68622542387453,398.8364437960535,83.5154708659121,1296.875826696936,52.15021837217898,1213.3603558310238,5
ML Training Data/Raman/Sample 23/MoS2_10_loc4.txt,ML Training Data/Raman/Sample 23/MoS2_10_loc4.jpg,401.3498676673112,519.1545274194904,150.51945847119117,97.38234264968344,117.80465975217912,53.137115821507734,5
ML Training Data/Raman/Sample 23/MoS2_1_loc1.txt,ML Training Data/Raman/Sample 23/MoS2_1_loc1.jpg,24.98430092498502,400.55829827076616,5.76713147968606,814.786249908945,375.5739973457811,809.0191184292589,5
ML Training Data/Raman/Sample 23/MoS2_1_loc2.txt,ML Training Data/Raman/Sample 23/MoS2_1_loc2.jpg,377.4983011512435,516.5656597391221,325.4127335786068,339.6790494132269,139.06735858787863,14.266315834620116,5
ML Training Data/Raman/Sample 23/MoS2_1_loc3.txt,ML Training Data/Raman/Sample 23/MoS2_1_loc3.jpg,376.0582016734308,400.5278794540722,404.4584434530079,518.9972158186198,24.469677780641405,114.53877236561192,4
ML Training Data/Raman/Sample 23/MoS2_2_loc1.txt,ML Training Data/Raman/Sample 23/MoS2_2_loc1.jpg,376.49222418864736,400.9421762127457,382.30550064143415,642.861354385597,24.44995202409837,260.55585374416285,4
ML Training Data/Raman/Sample 23/MoS2_2_loc2.txt,ML Training Data/Raman/Sample 23/MoS2_2_loc2.jpg,398.7910078672698,421.3321870672102,32.02221001136358,1023.5791746389584,22.541179199940416,991.556964627595,2
ML Training Data/Raman/Sample 23/MoS2_2_loc3.txt,ML Training Data/Raman/Sample 23/MoS2_2_loc3.jpg,377.65582182047984,517.8506510260174,539.861266785762,431.8846381666252,140.1948292055376,107.97662861913682,5
ML Training Data/Raman/Sample 23/MoS2_2_loc4.txt,ML Training Data/Raman/Sample 23/MoS2_2_loc4.jpg,106.4498273750876,398.44051663110633,-35.08407405266884,881.1280402419288,291.99068925601875,916.2121142945977,5
ML Training Data/Raman/Sample 23/MoS2_2_loc5.txt,ML Training Data/Raman/Sample 23/MoS2_2_loc5.jpg,396.864555519283,400.168798342604,430.2993585514889,502.2019911992274,3.30424282332109,71.90263264773847,1
ML Training Data/Raman/Sample 23/MoS2_2_loc6.txt,ML Training Data/Raman/Sample 23/MoS2_2_loc6.jpg,384.687762728647,401.109041598106,1020.5876024950094,137.94383443148098,16.42127886945906,882.6437680635283,1
ML Training Data/Raman/Sample 23/MoS2_2_loc7.txt,ML Training Data/Raman/Sample 23/MoS2_2_loc7.jpg,-3664.392168366744,398.83674859016486,1.0441454804131534,1097.131260657436,4063.228916956909,1096.0871151770227,5
ML Training Data/Raman/Sample 23/MoS2_3_loc1.txt,ML Training Data/Raman/Sample 23/MoS2_3_loc1.jpg,376.6182504942489,517.3995420011336,419.7978725394949,455.6423184951654,140.78129150688466,35.84444595567055,5
ML Training Data/Raman/Sample 23/MoS2_3_loc2.txt,ML Training Data/Raman/Sample 23/MoS2_3_loc2.jpg,375.76299024898697,514.8458536928388,394.1198921236397,316.0961921641561,139.0828634438518,78.02369995948362,5
ML Training Data/Raman/Sample 23/MoS2_3_loc3.txt,ML Training Data/Raman/Sample 23/MoS2_3_loc3.jpg,222.01275348571104,399.66366207890934,-19.588884416469952,969.4390892638394,177.65090859319832,989.0279736803092,5
ML Training Data/Raman/Sample 23/MoS2_6_loc1.txt,ML Training Data/Raman/Sample 23/MoS2_6_loc1.jpg,361.7629482880101,527.1239187664578,-13.566200275402505,92.66375826362687,165.3609704784477,106.22995853902938,5
ML Training Data/Raman/Sample 23/MoS2_6_loc2.txt,ML Training Data/Raman/Sample 23/MoS2_6_loc2.jpg,376.3270816223834,399.4707675365024,906.0397677594182,612.4273218908545,23.143685914119033,293.61244586856367,3
ML Training Data/Raman/Sample 23/MoS2_6_loc3.txt,ML Training Data/Raman/Sample 23/MoS2_6_loc3.jpg,398.6301044483854,420.1982690187618,575.4812750008973,22.53970826753215,21.568164570376386,552.9415667333651,2
ML Training Data/Raman/Sample 23/MoS2_6_loc4.txt,ML Training Data/Raman/Sample 23/MoS2_6_loc4.jpg,398.8506362612134,439.7427905880619,547.2848129318302,-8.600566069351336,40.89215432684847,555.8853790011815,5
ML Training Data/Raman/Sample 23/WS2_1_loc1.txt,ML Training Data/Raman/Sample 23/WS2_1_loc1.jpg,275.18680032971724,807.0398806789,0.7003428389635595,-30.023738094475036,531.8530803491827,30.724080933438596,5
ML Training Data/Raman/Sample 23/WS2_1_loc2.txt,ML Training Data/Raman/Sample 23/WS2_1_loc2.jpg,799.2497599938152,2041.557915889252,29.901985683472613,3.1130392358800223,1242.3081558954368,26.78894644759259,5
ML Training Data/Raman/Sample 23/WS2_1_loc3.txt,ML Training Data/Raman/Sample 23/WS2_1_loc3.jpg,84.49975232126033,848.1390900149868,1.3204569267745478,-10.5140297307196,763.6393376937265,11.834486657494146,5
ML Training Data/Raman/Sample 24/FeMoS2_11_loc1.txt,ML Training Data/Raman/Sample 24/FeMoS2_11_loc1.jpg,381.93679165586025,407.9926034295905,349.99985991807864,378.8328547838816,26.055811773730227,28.83299486580296,5
ML Training Data/Raman/Sample 24/FeMoS2_11_loc2.txt,ML Training Data/Raman/Sample 24/FeMoS2_11_loc2.jpg,382.1490454165518,407.6956353139883,329.68307053637386,314.20485384931436,25.54658989743649,15.4782166870595,5
ML Training Data/Raman/Sample 24/FeMoS2_11_loc3.txt,ML Training Data/Raman/Sample 24/FeMoS2_11_loc3.jpg,382.02748921841686,407.1756495966842,301.3720172523008,285.75116306976474,25.148160378267335,15.62085418253605,5
ML Training Data/Raman/Sample 24/FeMoS2_11_loc4.txt,ML Training Data/Raman/Sample 24/FeMoS2_11_loc4.jpg,381.35496079682656,407.36827493143113,302.9733066110369,259.878950363207,26.01331413460457,43.094356247829865,5
ML Training Data/Raman/Sample 24/FeMoS2_11_loc5.txt,ML Training Data/Raman/Sample 24/FeMoS2_11_loc5.jpg,382.5879133028853,407.56675392780465,269.3460959734861,266.10182805602733,24.97884062491937,3.244267917458785,4
ML Training Data/Raman/Sample 24/FeMoS2_1_loc1.txt,ML Training Data/Raman/Sample 24/FeMoS2_1_loc1.jpg,406.91177987138377,523.099205792343,104.3641216799338,68.53183661735679,116.18742592095924,35.832285062577014,5
ML Training Data/Raman/Sample 24/FeMoS2_1_loc2.txt,ML Training Data/Raman/Sample 24/FeMoS2_1_loc2.jpg,352.1964387205962,418.7719952188314,199.80626572030548,163.5445325933515,66.57555649823524,36.26173312695397,5
ML Training Data/Raman/Sample 24/FeMoS2_4_loc1.txt,ML Training Data/Raman/Sample 24/FeMoS2_4_loc1.jpg,382.76114188255656,408.5206320619522,374.2015948779711,372.3595155751527,25.75949017939564,1.8420793028183768,5
ML Training Data/Raman/Sample 24/FeMoS2_4_loc2.txt,ML Training Data/Raman/Sample 24/FeMoS2_4_loc2.jpg,384.1600429628127,407.4044772671161,239.04291524703808,220.8587469241116,23.24443430430335,18.184168322926467,3
ML Training Data/Raman/Sample 24/FeMoS2_8_loc1.txt,ML Training Data/Raman/Sample 24/FeMoS2_8_loc1.jpg,383.86126807521686,408.05093054740183,289.38378741354086,256.4350908946191,24.189662472184978,32.948696518921736,4
ML Training Data/Raman/Sample 24/FeMoS2_8_loc2.txt,ML Training Data/Raman/Sample 24/FeMoS2_8_loc2.jpg,382.79964480634607,410.0396194688295,274.8895803042394,297.1150780446866,27.239974662483466,22.225497740447167,5
ML Training Data/Raman/Sample 24/FeMoS2_8_loc3.txt,ML Training Data/Raman/Sample 24/FeMoS2_8_loc3.jpg,400.47279920493696,523.1898771354613,194.89826830841236,20.798224976505463,122.71707793052434,174.10004333190687,5
ML Training Data/Raman/Sample 24/MoS2_1_loc1.txt,ML Training Data/Raman/Sample 24/MoS2_1_loc1.jpg,403.5283653657906,520.3916394779156,93.74627053647572,72.36210053715337,116.86327411212504,21.384169999322367,5
ML Training Data/Raman/Sample 24/MoS2_1_loc2.txt,ML Training Data/Raman/Sample 24/MoS2_1_loc2.jpg,380.3479721716382,406.36274455418624,203.26954759099493,181.07750085804625,26.014772382548017,22.192046732948683,5
ML Training Data/Raman/Sample 24/MoS2_1_loc3.txt,ML Training Data/Raman/Sample 24/MoS2_1_loc3.jpg,380.64460593501616,405.5501186234973,103.85426088793577,93.23952437747582,24.905512688481167,10.614736510459934,4
ML Training Data/Raman/Sample 25/FeMoS2_1_loc1.txt,ML Training Data/Raman/Sample 25/FeMoS2_1_loc1.jpg,404.08965408408545,521.4488697618754,161.17290700387244,96.47147903627068,117.3592156777899,64.70142796760176,5
ML Training Data/Raman/Sample 25/FeMoS2_1_loc2.txt,ML Training Data/Raman/Sample 25/FeMoS2_1_loc2.jpg,382.77202060773624,407.9972118637048,225.3091605304131,201.81487033120777,25.225191255968586,23.494290199205352,5
ML Training Data/Raman/Sample 25/FeMoS2_1_loc3.txt,ML Training Data/Raman/Sample 25/FeMoS2_1_loc3.jpg,404.9329641137651,521.5740899670583,143.5901516998789,97.51859069825636,116.6411258532932,46.071561001622555,5
ML Training Data/Raman/Sample 26/FeMoS2_1_loc1.txt,ML Training Data/Raman/Sample 26/FeMoS2_1_loc1.jpg,383.6477780914042,407.15016013667906,231.29122386610783,221.38061400989912,23.502382045274885,9.910609856208737,3
ML Training Data/Raman/Sample 26/FeMoS2_1_loc2.txt,ML Training Data/Raman/Sample 26/FeMoS2_1_loc2.jpg,405.01054892676734,521.8154365056499,167.42613382537854,121.30167283084896,116.8048875788826,46.124460994529585,5
ML Training Data/Raman/Sample 26/FeMoS2_1_loc3.txt,ML Training Data/Raman/Sample 26/FeMoS2_1_loc3.jpg,382.7930373714702,406.59713743363335,178.9851813907757,158.55491467786018,23.804100062163172,20.430266712915483,3
ML Training Data/Raman/Sample 29/MoS2_1_loc1.txt,ML Training Data/Raman/Sample 29/MoS2_1_loc1.jpg,384.2315871725838,407.8160635686658,65.71397640374582,61.548215507422434,23.58447639608204,4.165760896323384,3
ML Training Data/Raman/Sample 29/MoS2_1_loc2.txt,ML Training Data/Raman/Sample 29/MoS2_1_loc2.jpg,405.7225913254204,523.67670914752,216.6803877303156,202.00012017228215,117.9541178220996,14.68026755803345,5
ML Training Data/Raman/Sample 29/MoS2_1_loc3.txt,ML Training Data/Raman/Sample 29/MoS2_1_loc3.jpg,383.4596713716781,407.37406098261147,249.46212178971,225.22002703626464,23.914389610933423,24.242094753445343,3
ML Training Data/Raman/Sample 29/MoS2_1_loc4.txt,ML Training Data/Raman/Sample 29/MoS2_1_loc4.jpg,382.99521313730247,407.28746823652466,222.68209377826977,239.43909460471863,24.29225509922219,16.757000826448916,4
ML Training Data/Raman/Sample 29/MoS2_1_loc5.txt,ML Training Data/Raman/Sample 29/MoS2_1_loc5.jpg,381.9042904525661,408.5425916309948,329.7968725675119,296.1320991461102,26.63830117842872,33.66477342140172,5
ML Training Data/Raman/Sample 29/MoS2_1_loc6.txt,ML Training Data/Raman/Sample 29/MoS2_1_loc6.jpg,382.68680953226,406.4497168336555,310.1640465548769,295.39637766608024,23.7629073013955,14.767668888796663,3
ML Training Data/Raman/Sample 29/MoS2_22_loc1.txt,ML Training Data/Raman/Sample 29/MoS2_22_loc1.jpg,382.3919883007492,406.34374575880554,298.65155331999034,291.8466524083757,23.951757458056303,6.804900911614652,3
ML Training Data/Raman/Sample 29/MoS2_3_loc1.txt,ML Training Data/Raman/Sample 29/MoS2_3_loc1.jpg,382.57108907873,406.4587762064429,297.3475686246584,282.8435231108163,23.887687127712866,14.504045513842073,3
ML Training Data/Raman/Sample 29/MoS2_3_loc2.txt,ML Training Data/Raman/Sample 29/MoS2_3_loc2.jpg,382.40508457781095,409.04264338600655,300.24986118004773,218.75390308370316,26.637558808195593,81.49595809634457,5
ML Training Data/Raman/Sample 29/MoS2_3_loc3.txt,ML Training Data/Raman/Sample 29/MoS2_3_loc3.jpg,381.8066508192138,408.8235183347924,263.04279974839864,216.3737917658096,27.016867515578497,46.66900798258905,5
ML Training Data/Raman/Sample 3/MoS2_1_loc1.txt,ML Training Data/Raman/Sample 3/MoS2_1_loc1.jpg,379.8274495053277,401.0596568698835,153.13218691201166,160.72435551691606,21.23220736455579,7.592168604904401,2
ML Training Data/Raman/Sample 3/MoS2_1_loc2.txt,ML Training Data/Raman/Sample 3/MoS2_1_loc2.jpg,378.63531465486955,401.95453170021096,181.7829676177859,166.89132335172755,23.319217045341414,14.891644266058393,3
ML Training Data/Raman/Sample 3/MoS2_1_loc3.txt,ML Training Data/Raman/Sample 3/MoS2_1_loc3.jpg,378.2685297815532,402.2204131789608,255.5151947769278,228.88047839836517,23.951883397407585,26.634716378562615,3
ML Training Data/Raman/Sample 3/MoS2_1_loc4.txt,ML Training Data/Raman/Sample 3/MoS2_1_loc4.jpg,379.8194299313406,400.63159390041375,139.29716243982176,132.5260954835858,20.81216396907314,6.771066956235956,1
ML Training Data/Raman/Sample 3/MoS2_1_loc5.txt,ML Training Data/Raman/Sample 3/MoS2_1_loc5.jpg,377.8170898214845,403.11816886071546,305.0614746024831,290.3106214199667,25.301079039230956,14.75085318251638,5
ML Training Data/Raman/Sample 3/MoS2_1_loc6.txt,ML Training Data/Raman/Sample 3/MoS2_1_loc6.jpg,378.19032634510825,404.8556142720664,175.65916471170013,90.9314796756758,26.665287926958115,84.72768503602434,5
ML Training Data/Raman/Sample 3/MoS2_1_loc7.txt,ML Training Data/Raman/Sample 3/MoS2_1_loc7.jpg,377.52861628002546,402.73037894144943,309.75248739862985,314.76049671254964,25.20176266142397,5.008009313919786,5
ML Training Data/Raman/Sample 3/MoS2_1_loc8.txt,ML Training Data/Raman/Sample 3/MoS2_1_loc8.jpg,377.96959992731854,402.6418281333849,189.89556020995448,180.35906660841,24.672228206066336,9.536493601544464,4
ML Training Data/Raman/Sample 4/MoS2_1_loc1.txt,ML Training Data/Raman/Sample 4/MoS2_1_loc1.jpg,379.2303989189712,403.2632610284596,127.12746488263792,108.0190135488508,24.032862109488462,19.10845133378713,4
ML Training Data/Raman/Sample 4/MoS2_1_loc2.txt,ML Training Data/Raman/Sample 4/MoS2_1_loc2.jpg,379.83994391416985,401.637412884091,93.80904781973732,62.599707083762056,21.79746896992117,31.209340735975275,2
ML Training Data/Raman/Sample 4/MoS2_1_loc3.txt,ML Training Data/Raman/Sample 4/MoS2_1_loc3.jpg,379.49536202145106,400.9941404569138,111.84687183299548,125.87694183344848,21.498778435462725,14.030070000453009,2
